symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,version
HCA,"$195,585",Benchmark,90.9,35.89%,"$53,809","$82,693",-33.23%,"$226,977",V2
DOC,"$321,398",Benchmark,106.6,13.44%,"$131,836","$162,468",-61.48%,"$549,683",V2
HSIC,"$48,211",Benchmark,111.9,8.07%,"$29,560","$35,952",-67.9%,"$80,228",V2
HSY,"$1,002,679",Benchmark,102.9,15.96%,"$156,960","$277,220",-48.88%,"$1,386,985",V2
HES,"$49,542",Benchmark,144.0,5.28%,"$6,584","$11,204",-77.32%,"$53,841",V2
HPE,"$11,133",Benchmark,111.1,1.66%,"$11,720","$11,798",-50.2%,"$15,364",V2
HLT,"$33,194",Benchmark,83.3,16.65%,"$18,511","$19,538",-37.56%,"$42,484",V2
HOLX,"$214,437",Benchmark,151.1,13.49%,"$115,082","$117,947",-88.67%,"$360,428",V2
HON,"$1,133,806",Benchmark,123.0,11.46%,"$92,342","$263,591",-83.35%,"$1,287,735",V2
HRL,"$558,150",Benchmark,113.4,13.8%,"$123,105","$230,692",-46.22%,"$851,520",V2
HST,"$245,858",Benchmark,126.4,10.84%,"$153,940","$171,306",-73.94%,"$552,348",V2
HWM,"$33,036",Benchmark,106.0,22.88%,"$8,862","$11,026",-61.06%,"$36,836",V2
HPQ,"$4,443,124",Benchmark,140.0,15.0%,"$184,786","$1,152,625",-63.58%,"$7,078,631",V2
HUBB,"$26,078,022",Strategy,67.3,24.3%,"$1,029,748","$3,174,092",-50.94%,"$33,005,528",V2
HUM,"$1,380,218",Strategy,132.6,17.93%,"$33,265","$327,484",-72.1%,"$2,121,550",V2
HBAN,"$37,890",Benchmark,120.9,4.37%,"$36,942","$60,753",-94.2%,"$198,625",V2
HII,"$55,171",Benchmark,97.3,19.31%,"$55,398","$50,149",-54.04%,"$91,630",V2
IBM,"$908,280",Benchmark,131.0,10.89%,"$74,801","$157,964",-63.44%,"$987,543",V2
IEX,"$47,520",Benchmark,105.1,6.5%,"$26,320","$30,368",-69.28%,"$75,305",V2
IDXX,"$271,780",Benchmark,104.2,15.22%,"$46,165","$84,336",-83.82%,"$363,276",V2
ITW,"$866,109",Benchmark,115.6,13.21%,"$122,457","$213,451",-64.19%,"$1,063,496",V2
INCY,"$33,543",Benchmark,169.3,5.75%,"$45,339","$52,350",-97.93%,"$195,143",V2
IR,"$21,608",Benchmark,98.2,15.22%,"$12,503","$13,889",-37.9%,"$28,043",V2
