symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,
HSY,"$1,002,679",Benchmark,102.9,15.96%,"$156,960","$277,220",-48.88%,"$1,386,985"
HES,"$49,542",Benchmark,144.0,5.28%,"$6,584","$11,204",-77.32%,"$53,841"
HPE,"$11,133",Benchmark,111.1,1.66%,"$11,720","$11,798",-50.2%,"$15,364"
HLT,"$33,194",Benchmark,83.3,16.65%,"$18,511","$19,538",-37.56%,"$42,484"
HOLX,"$214,437",Benchmark,151.1,13.49%,"$115,082","$117,947",-88.67%,"$360,428"
HD,"$7,761,019",Benchmark,99.8,24.78%,"$1,270,299","$2,199,233",-75.57%,"$9,653,224"
HON,"$1,133,806",Benchmark,123.0,11.46%,"$92,342","$263,591",-83.35%,"$1,287,735"
HRL,"$558,150",Benchmark,113.4,13.8%,"$123,105","$230,692",-46.22%,"$851,520"
HST,"$245,858",Benchmark,126.4,10.84%,"$153,940","$171,306",-73.94%,"$552,348"
HWM,"$33,036",Benchmark,106.0,22.88%,"$8,862","$11,026",-61.06%,"$36,836"
HPQ,"$4,443,124",Benchmark,140.0,15.0%,"$184,786","$1,152,625",-63.58%,"$7,078,631"
HUBB,"$26,078,022",Strategy,67.3,24.3%,"$1,029,748","$3,174,092",-50.94%,"$33,005,528"
HUM,"$1,380,218",Strategy,132.6,17.93%,"$33,265","$327,484",-72.1%,"$2,121,550"
HBAN,"$37,890",Benchmark,120.9,4.37%,"$36,942","$60,753",-94.2%,"$198,625"
HII,"$55,171",Benchmark,97.3,19.31%,"$55,398","$50,149",-54.04%,"$91,630"
IBM,"$908,280",Benchmark,131.0,10.89%,"$74,801","$157,964",-63.44%,"$987,543"
IEX,"$47,520",Benchmark,105.1,6.5%,"$26,320","$30,368",-69.28%,"$75,305"
IDXX,"$271,780",Benchmark,104.2,15.22%,"$46,165","$84,336",-83.82%,"$363,276"
ITW,"$866,109",Benchmark,115.6,13.21%,"$122,457","$213,451",-64.19%,"$1,063,496"
INCY,"$33,543",Benchmark,169.3,5.75%,"$45,339","$52,350",-97.93%,"$195,143"
IR,"$21,608",Benchmark,98.2,15.22%,"$12,503","$13,889",-37.9%,"$28,043"
PODD,"$99,838",Benchmark,114.4,20.51%,"$33,270","$53,877",-67.82%,"$162,453"
INTC,"$32,633",Benchmark,151.5,3.87%,"$68,284","$70,717",-89.76%,"$312,357"
ICE,"$81,328",Benchmark,68.5,16.99%,"$19,176","$28,067",-78.45%,"$85,597"
IFF,"$65,540",Benchmark,137.5,5.56%,"$47,010","$47,305",-61.07%,"$129,408"
IP,"$208,869",Benchmark,141.9,7.22%,"$53,535","$68,194",-80.52%,"$253,078"
IPG,"$133,136",Benchmark,121.6,8.68%,"$70,209","$87,058",-95.37%,"$352,493"
INTU,"$149,720",Benchmark,110.0,13.02%,"$29,014","$52,425",-87.61%,"$250,595"
ISRG,"$1,824,030",Benchmark,110.8,35.62%,"$298,872","$460,907",-61.94%,"$2,208,033"
IVZ,"$23,021",Benchmark,147.3,4.17%,"$30,788","$31,439",-81.03%,"$71,621"
INVH,"$12,295",Benchmark,116.5,3.74%,"$12,477","$12,106",-45.91%,"$16,319"
IQV,"$22,291",Benchmark,93.0,10.26%,"$26,200","$25,898",-59.74%,"$54,382"
IRM,"$60,819",Benchmark,116.2,9.39%,"$14,698","$19,256",-50.37%,"$95,030"
JBHT,"$149,135",Benchmark,126.0,9.93%,"$52,816","$77,672",-62.19%,"$242,178"
JBL,"$559,784",Benchmark,157.2,20.06%,"$106,233","$155,610",-96.13%,"$819,317"
JKHY,"$408,600",Benchmark,114.8,14.63%,"$63,150","$117,891",-86.49%,"$467,807"
J,"$72,182",Benchmark,138.9,6.56%,"$20,178","$25,809",-84.16%,"$94,617"
JNJ,"$9,313,671",Benchmark,103.2,16.97%,"$557,124","$2,460,931",-58.76%,"$11,652,102"
JCI,"$64,925",Benchmark,120.5,7.49%,"$28,267","$31,953",-91.37%,"$107,301"
JPM,"$424,147",Benchmark,122.6,12.8%,"$67,062","$87,053",-68.37%,"$512,315"
JNPR,"$19,371",Strategy,164.3,3.79%,"$14,134","$13,748",-88.07%,"$27,260"
K,"$187,227",Benchmark,126.4,8.48%,"$114,922","$98,392",-64.38%,"$242,676"
KVUE,"$14,490",Strategy,104.0,32.51%,"$12,898","$12,388",-18.37%,"$14,737"
KDP,"$89,949",Benchmark,78.4,20.74%,"$49,495","$58,015",-30.87%,"$121,797"
KEY,"$73,332",Benchmark,120.8,8.02%,"$60,603","$60,320",-77.04%,"$136,166"
KEYS,"$33,149",Benchmark,98.3,18.1%,"$21,760","$23,702",-38.89%,"$48,747"
KMB,"$597,180",Benchmark,101.8,14.05%,"$148,419","$208,344",-48.05%,"$605,316"
KIM,"$380,181",Strategy,88.2,17.13%,"$180,430","$188,939",-51.31%,"$609,685"
KMI,"$23,520",Strategy,123.9,9.17%,"$13,364","$13,758",-51.72%,"$26,058"
KKR,"$82,186",Benchmark,91.4,23.07%,"$18,574","$31,495",-45.21%,"$141,043"
